1	0	1	1
2	6	1	1
3	12	17	17
4	103	19	19
5	209	8	8
6	254	46	46
7	500	112	112
8	1073	126	126
9	1692	147	147
10	2413	247	247
11	3591	271	271
12	4854	286	286
13	6179	195	195
14	7124	438	438
15	9097	366	366
16	10786	448	448
17	12787	300	300
18	14190	269	269
19	15453	206	206
20	16437	161	161
21	17222	160	160
22	18002	124	124
23	18628	214	214
24	19663	231	231
25	20775	217	217
26	21819	201	201
27	22781	105	105
28	23308	59	59
29	23618	39	39
30	23822	13	13
31	23896	33	33
32	24070	15	15
33	24154	11	11
34	24215	2	2
35	24229	2	2
36	24243	1	1
37	24252	1	1
38	24261	1	1
39	24270	1	1
